(val) step 0: {'pi': 0.1328125, 'score': 0.1328125, 'examples_seen': 32, 'step': 0}
(val) step 9: {'pi': 0.19140625, 'score': 0.19140625, 'examples_seen': 320, 'step': 9}
(val) step 19: {'pi': 0.345703125, 'score': 0.345703125, 'examples_seen': 640, 'step': 19}
(val) step 29: {'pi': 0.337890625, 'score': 0.337890625, 'examples_seen': 960, 'step': 29}
(val) step 39: {'pi': 0.408203125, 'score': 0.408203125, 'examples_seen': 1280, 'step': 39}
(val) step 49: {'pi': 0.435546875, 'score': 0.435546875, 'examples_seen': 1600, 'step': 49}
(val) step 59: {'pi': 0.390625, 'score': 0.390625, 'examples_seen': 1920, 'step': 59}
(val) step 69: {'pi': 0.412109375, 'score': 0.412109375, 'examples_seen': 2240, 'step': 69}
(val) step 79: {'pi': 0.41796875, 'score': 0.41796875, 'examples_seen': 2560, 'step': 79}
(val) step 89: {'pi': 0.4140625, 'score': 0.4140625, 'examples_seen': 2880, 'step': 89}
(val) step 99: {'pi': 0.392578125, 'score': 0.392578125, 'examples_seen': 3200, 'step': 99}
(val) step 109: {'pi': 0.37890625, 'score': 0.37890625, 'examples_seen': 3520, 'step': 109}
(val) step 119: {'pi': 0.3984375, 'score': 0.3984375, 'examples_seen': 3840, 'step': 119}
(val) step 129: {'pi': 0.408203125, 'score': 0.408203125, 'examples_seen': 4160, 'step': 129}
(val) step 139: {'pi': 0.3984375, 'score': 0.3984375, 'examples_seen': 4480, 'step': 139}
(val) step 149: {'pi': 0.404296875, 'score': 0.404296875, 'examples_seen': 4800, 'step': 149}
(val) step 159: {'pi': 0.375, 'score': 0.375, 'examples_seen': 5120, 'step': 159}
(val) step 169: {'pi': 0.390625, 'score': 0.390625, 'examples_seen': 5440, 'step': 169}
(val) step 179: {'pi': 0.404296875, 'score': 0.404296875, 'examples_seen': 5760, 'step': 179}
(val) step 189: {'pi': 0.412109375, 'score': 0.412109375, 'examples_seen': 6080, 'step': 189}
(val) step 199: {'pi': 0.447265625, 'score': 0.447265625, 'examples_seen': 6400, 'step': 199}
(val) step 209: {'pi': 0.43359375, 'score': 0.43359375, 'examples_seen': 6720, 'step': 209}
(val) step 219: {'pi': 0.392578125, 'score': 0.392578125, 'examples_seen': 7040, 'step': 219}
(val) step 229: {'pi': 0.443359375, 'score': 0.443359375, 'examples_seen': 7360, 'step': 229}
(val) step 239: {'pi': 0.376953125, 'score': 0.376953125, 'examples_seen': 7680, 'step': 239}
(val) step 249: {'pi': 0.37109375, 'score': 0.37109375, 'examples_seen': 8000, 'step': 249}
