(val) step 1179: {'pi': 0.931640625, 'score': 0.931640625, 'examples_seen': 37760, 'step': 1179}
(val) step 1189: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 38080, 'step': 1189}
(val) step 1199: {'pi': 0.8984375, 'score': 0.8984375, 'examples_seen': 38400, 'step': 1199}
(val) step 1209: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 38720, 'step': 1209}
(val) step 1219: {'pi': 0.890625, 'score': 0.890625, 'examples_seen': 39040, 'step': 1219}
(val) step 1229: {'pi': 0.919921875, 'score': 0.919921875, 'examples_seen': 39360, 'step': 1229}
(val) step 1239: {'pi': 0.90234375, 'score': 0.90234375, 'examples_seen': 39680, 'step': 1239}
(val) step 1249: {'pi': 0.9375, 'score': 0.9375, 'examples_seen': 40000, 'step': 1249}
(val) step 1259: {'pi': 0.91796875, 'score': 0.91796875, 'examples_seen': 40320, 'step': 1259}
(val) step 1269: {'pi': 0.8671875, 'score': 0.8671875, 'examples_seen': 40640, 'step': 1269}
(val) step 1279: {'pi': 0.908203125, 'score': 0.908203125, 'examples_seen': 40960, 'step': 1279}
(val) step 1289: {'pi': 0.896484375, 'score': 0.896484375, 'examples_seen': 41280, 'step': 1289}
(val) step 1299: {'pi': 0.765625, 'score': 0.765625, 'examples_seen': 41600, 'step': 1299}
(val) step 1309: {'pi': 0.435546875, 'score': 0.435546875, 'examples_seen': 41920, 'step': 1309}
(val) step 1319: {'pi': 0.4765625, 'score': 0.4765625, 'examples_seen': 42240, 'step': 1319}
(val) step 1329: {'pi': 0.701171875, 'score': 0.701171875, 'examples_seen': 42560, 'step': 1329}
(val) step 1339: {'pi': 0.7734375, 'score': 0.7734375, 'examples_seen': 42880, 'step': 1339}
(val) step 1349: {'pi': 0.89453125, 'score': 0.89453125, 'examples_seen': 43200, 'step': 1349}
(val) step 1359: {'pi': 0.87109375, 'score': 0.87109375, 'examples_seen': 43520, 'step': 1359}
(val) step 1369: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 43840, 'step': 1369}
(val) step 1379: {'pi': 0.919921875, 'score': 0.919921875, 'examples_seen': 44160, 'step': 1379}
(val) step 1389: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 44480, 'step': 1389}
